TRIP ID,START TIME,STOP TIME,BIKE ID,TRIP DURATION,FROM STATION ID,FROM STATION NAME,TO STATION ID,TO STATION NAME,USER TYPE,GENDER,BIRTH YEAR,FROM LATITUDE,FROM LONGITUDE,FROM LOCATION,TO LATITUDE,TO LONGITUDE,TO LOCATION
25962879,12/31/2019 11:36:30 PM,12/31/2019 11:56:19 PM,4877,1189,90,Millennium Park,90,Millennium Park,Subscriber,Male,1992,41.8810317,-87.62408432,POINT (-87.62408432 41.8810317),41.8810317,-87.62408432,POINT (-87.62408432 41.8810317)
25962878,12/31/2019 11:35:28 PM,12/31/2019 11:40:59 PM,3775,330,160,Campbell Ave & North Ave,309,Leavitt St & Armitage Ave,Subscriber,Male,1991,41.910535,-87.689556,POINT (-87.689556 41.910535),41.917805,-87.682437,POINT (-87.682437 41.917805)
25962877,12/31/2019 11:35:20 PM,12/31/2019 11:39:45 PM,1914,265,417,Cornell Ave & Hyde Park Blvd,345,Lake Park Ave & 56th St,Subscriber,Male,1993,41.802406,-87.586924,POINT (-87.586924 41.802406),41.793242,-87.587782,POINT (-87.587782 41.793242)
25962876,12/31/2019 11:32:47 PM,12/31/2019 11:45:47 PM,4599,780,275,Ashland Ave & 13th St,205,Paulina St & 18th St,Subscriber,Male,1987,41.865234,-87.666507,POINT (-87.666507 41.865234),41.857901,-87.668745,POINT (-87.668745 41.857901)
25962875,12/31/2019 11:31:59 PM,12/31/2019 11:40:41 PM,3213,522,277,Ashland Ave & Grand Ave,130,Damen Ave & Division St,Subscriber,Male,1984,41.891072,-87.666611,POINT (-87.666611 41.891072),41.903266,-87.678435,POINT (-87.678435 41.903266)
25962874,12/31/2019 11:31:35 PM,12/31/2019 11:50:47 PM,3388,1152,174,Canal St & Madison St,33,State St & Van Buren St,Subscriber,Male,1985,41.882091,-87.639833,POINT (-87.639833 41.882091),41.877181,-87.627844,POINT (-87.627844 41.877181)
25962873,12/31/2019 11:30:31 PM,12/31/2019 11:34:49 PM,2382,257,148,State St & 33rd St,402,Shields Ave & 31st St,Subscriber,Male,1995,41.834734,-87.625813,POINT (-87.625813 41.834734),41.838464,-87.635406,POINT (-87.635406 41.838464)
25962866,12/31/2019 11:25:59 PM,12/31/2019 11:44:22 PM,5464,1103,214,Damen Ave & Grand Ave,52,Michigan Ave & Lake St,Subscriber,Male,1998,41.89122,-87.67686,POINT (-87.67686 41.89122),41.886024,-87.624117,POINT (-87.624117 41.886024)
25962865,12/31/2019 11:25:23 PM,12/31/2019 11:29:56 PM,1066,272,147,Indiana Ave & 26th St,237,MLK Jr Dr & 29th St,Subscriber,Female,1996,41.845687,-87.622481,POINT (-87.622481 41.845687),41.842052,-87.617,POINT (-87.617 41.842052)
25962864,12/31/2019 11:25:11 PM,12/31/2019 11:30:05 PM,2299,294,147,Indiana Ave & 26th St,237,MLK Jr Dr & 29th St,Subscriber,Male,1996,41.845687,-87.622481,POINT (-87.622481 41.845687),41.842052,-87.617,POINT (-87.617 41.842052)
25962863,12/31/2019 11:23:54 PM,12/31/2019 11:52:32 PM,4455,1718,112,Green St & Randolph St,207,Emerald Ave & 28th St,Subscriber,Male,1980,41.883668,-87.64867,POINT (-87.64867 41.883668),41.84358,-87.645368,POINT (-87.645368 41.84358)
25962862,12/31/2019 11:21:40 PM,12/31/2019 11:37:53 PM,5474,973,146,Loomis St & Jackson Blvd,382,Western Ave & Congress Pkwy,Subscriber,,1999,41.877945,-87.662007,POINT (-87.662007 41.877945),41.874748851,-87.686445276,POINT (-87.6864452757 41.87474885079)
25962861,12/31/2019 11:19:28 PM,12/31/2019 11:32:05 PM,6013,757,169,Canal St & Harrison St,132,Wentworth Ave & 24th St (Temp),Subscriber,Male,1982,41.874255,-87.639573,POINT (-87.639573 41.874255),41.850083693,-87.632140517,POINT (-87.632140517235 41.850083693476)
25962860,12/31/2019 11:19:27 PM,12/31/2019 11:29:42 PM,4681,615,256,Broadway & Sheridan Rd,229,Southport Ave & Roscoe St,Subscriber,Male,1991,41.952833,-87.649993,POINT (-87.649993 41.952833),41.943739,-87.66402,POINT (-87.66402 41.943739)
25962859,12/31/2019 11:17:55 PM,12/31/2019 11:25:05 PM,2276,429,44,State St & Randolph St,192,Canal St & Adams St,Subscriber,Male,1997,41.884730201,-87.627733569,POINT (-87.6277335692 41.8847302006),41.879255,-87.639904,POINT (-87.639904 41.879255)
25962858,12/31/2019 11:17:41 PM,12/31/2019 11:30:10 PM,4956,749,463,Clark St & Berwyn Ave,298,Lincoln Ave & Belle Plaine Ave,Subscriber,Male,1991,41.977996654,-87.668047105,POINT (-87.6680471047 41.9779966544),41.95602,-87.680293,POINT (-87.680293 41.95602)
25962857,12/31/2019 11:17:12 PM,12/31/2019 11:36:08 PM,4877,1136,22,May St & Taylor St,90,Millennium Park,Subscriber,Male,1992,41.8694821,-87.6554864,POINT (-87.6554864 41.8694821),41.8810317,-87.62408432,POINT (-87.62408432 41.8810317)
25962856,12/31/2019 11:15:51 PM,12/31/2019 11:33:46 PM,470,1075,289,Wells St & Concord Ln,264,Stetson Ave & South Water St,Subscriber,Male,1964,41.912133,-87.634656,POINT (-87.634656 41.912133),41.886835,-87.62232,POINT (-87.62232 41.886835)
25962855,12/31/2019 11:13:02 PM,12/31/2019 11:16:46 PM,6301,223,507,Humboldt Blvd & Armitage Ave,123,California Ave & Milwaukee Ave,Subscriber,Male,1984,41.917513394,-87.701808956,POINT (-87.7018089555 41.91751339399),41.922695,-87.697153,POINT (-87.697153 41.922695)
25962854,12/31/2019 11:12:58 PM,12/31/2019 11:42:01 PM,389,1743,145,Mies van der Rohe Way & Chestnut St,145,Mies van der Rohe Way & Chestnut St,Subscriber,Female,1979,41.898586651,-87.621915226,POINT (-87.6219152258 41.8985866514),41.898586651,-87.621915226,POINT (-87.6219152258 41.8985866514)
25962852,12/31/2019 11:12:04 PM,12/31/2019 11:14:31 PM,2276,146,194,Wabash Ave & Wacker Pl,44,State St & Randolph St,Subscriber,Male,1997,41.886875,-87.62603,POINT (-87.62603 41.886875),41.884730201,-87.627733569,POINT (-87.6277335692 41.8847302006)
25962848,12/31/2019 11:09:34 PM,12/31/2019 11:13:14 PM,1099,220,229,Southport Ave & Roscoe St,632,Clark St & Newport St,Subscriber,Male,1988,41.943739,-87.66402,POINT (-87.66402 41.943739),41.94454,-87.654678,POINT (-87.654678 41.94454)
25962847,12/31/2019 11:08:24 PM,12/31/2019 11:15:59 PM,3553,454,114,Sheffield Ave & Waveland Ave,330,Lincoln Ave & Addison St,Subscriber,Male,1983,41.949399,-87.654529,POINT (-87.654529 41.949399),41.946176,-87.673308,POINT (-87.673308 41.946176)
25962846,12/31/2019 11:08:15 PM,12/31/2019 11:19:50 PM,156,694,220,Clark St & Drummond Pl,327,Sheffield Ave & Webster Ave,Subscriber,Male,1973,41.931248,-87.644336,POINT (-87.644336 41.931248),41.92154,-87.653818,POINT (-87.653818 41.92154)
25962845,12/31/2019 11:05:47 PM,12/31/2019 11:16:54 PM,4877,666,644,Western Ave & Fillmore St (*),22,May St & Taylor St,Subscriber,Male,1992,41.868563,-87.686234,POINT (-87.686234 41.868563),41.8694821,-87.6554864,POINT (-87.6554864 41.8694821)
25962844,12/31/2019 11:05:45 PM,12/31/2019 11:13:39 PM,6013,473,56,Desplaines St & Kinzie St,169,Canal St & Harrison St,Subscriber,Male,1982,41.888716036,-87.644447853,POINT (-87.6444478533 41.888716036),41.874255,-87.639573,POINT (-87.639573 41.874255)
25962838,12/31/2019 11:02:43 PM,12/31/2019 11:17:36 PM,755,893,344,Ravenswood Ave & Lawrence Ave,453,Clark St & Schreiber Ave,Subscriber,Male,1974,41.96909,-87.674237,POINT (-87.674237 41.96909),41.999251822,-87.671377339,POINT (-87.6713773393 41.99925182186)
25962837,12/31/2019 10:54:51 PM,12/31/2019 11:12:30 PM,646,1059,38,Clark St & Lake St,77,Clinton St & Madison St,Subscriber,Male,1985,41.886020828,-87.630876058,POINT (-87.6308760584 41.88602082773),41.882242,-87.641066,POINT (-87.641066 41.882242)
25962836,12/31/2019 10:53:54 PM,12/31/2019 11:24:14 PM,5192,1819,277,Ashland Ave & Grand Ave,35,Streeter Dr & Grand Ave,Subscriber,Female,1995,41.891072,-87.666611,POINT (-87.666611 41.891072),41.892278,-87.612043,POINT (-87.612043 41.892278)
25962835,12/31/2019 10:53:54 PM,12/31/2019 11:24:23 PM,3027,1828,277,Ashland Ave & Grand Ave,35,Streeter Dr & Grand Ave,Subscriber,Male,1997,41.891072,-87.666611,POINT (-87.666611 41.891072),41.892278,-87.612043,POINT (-87.612043 41.892278)
25962834,12/31/2019 10:51:44 PM,12/31/2019 11:08:54 PM,5672,1030,164,Franklin St & Lake St,143,Sedgwick St & Webster Ave,Subscriber,Male,1994,41.885837,-87.6355,POINT (-87.6355 41.885837),41.922167,-87.638888,POINT (-87.638888 41.922167)
25962833,12/31/2019 10:49:06 PM,12/31/2019 11:06:28 PM,3748,1042,254,Pine Grove Ave & Irving Park Rd,326,Clark St & Leland Ave,Subscriber,,1992,41.954383,-87.648043,POINT (-87.648043 41.954383),41.967096,-87.667429,POINT (-87.667429 41.967096)
25962832,12/31/2019 10:47:54 PM,12/31/2019 10:55:24 PM,2718,450,330,Lincoln Ave & Addison St,165,Clark St & Grace St,Subscriber,Male,1983,41.946176,-87.673308,POINT (-87.673308 41.946176),41.95078,-87.659172,POINT (-87.659172 41.95078)
25962829,12/31/2019 10:46:28 PM,12/31/2019 10:55:29 PM,1702,540,74,Kingsbury St & Erie St,233,Sangamon St & Washington Blvd,Subscriber,Male,1978,41.893808056,-87.641697228,POINT (-87.641697227955 41.893808056244),41.883165,-87.6511,POINT (-87.6511 41.883165)
25962828,12/31/2019 10:40:16 PM,12/31/2019 10:50:36 PM,5836,619,109,900 W Harrison St,274,Racine Ave & 15th St,Subscriber,Male,1969,41.874754,-87.649807,POINT (-87.649807 41.874754),41.861267,-87.656625,POINT (-87.656625 41.861267)
25962827,12/31/2019 10:36:41 PM,12/31/2019 11:12:45 PM,389,2164,176,Clark St & Elm St,145,Mies van der Rohe Way & Chestnut St,Subscriber,Female,1979,41.902973,-87.63128,POINT (-87.63128 41.902973),41.898586651,-87.621915226,POINT (-87.6219152258 41.8985866514)
25962826,12/31/2019 10:34:45 PM,12/31/2019 10:48:33 PM,646,827,107,Desplaines St & Jackson Blvd,38,Clark St & Lake St,Subscriber,Male,1997,41.878287,-87.643909,POINT (-87.643909 41.878287),41.886020828,-87.630876058,POINT (-87.6308760584 41.88602082773)
25962825,12/31/2019 10:33:32 PM,12/31/2019 10:46:35 PM,6180,782,163,Damen Ave & Clybourn Ave,332,Burling St (Halsted) & Diversey Pkwy (Temp),Subscriber,Female,1984,41.931931,-87.677856,POINT (-87.677856 41.931931),41.93314,-87.64776,POINT (-87.64776 41.93314)
25962824,12/31/2019 10:27:59 PM,12/31/2019 10:32:57 PM,4767,297,332,Burling St (Halsted) & Diversey Pkwy (Temp),152,Lincoln Ave & Diversey Pkwy,Subscriber,Male,1983,41.93314,-87.64776,POINT (-87.64776 41.93314),41.932225,-87.658617,POINT (-87.658617 41.932225)
25962823,12/31/2019 10:12:21 PM,12/31/2019 10:18:26 PM,4132,364,166,Ashland Ave & Wrightwood Ave,67,Sheffield Ave & Fullerton Ave,Subscriber,Male,1996,41.92883,-87.668507,POINT (-87.668507 41.92883),41.925601882,-87.653708042,POINT (-87.6537080423 41.9256018819)
25962821,12/31/2019 10:08:15 PM,12/31/2019 10:28:30 PM,389,1214,110,Dearborn St & Erie St,176,Clark St & Elm St,Subscriber,Female,1979,41.893992,-87.629318,POINT (-87.629318 41.893992),41.902973,-87.63128,POINT (-87.63128 41.902973)
25962820,12/31/2019 10:07:31 PM,12/31/2019 10:24:08 PM,5531,997,81,Daley Center Plaza,38,Clark St & Lake St,Subscriber,Male,1985,41.884241,-87.629634,POINT (-87.629634 41.884241),41.886020828,-87.630876058,POINT (-87.6308760584 41.88602082773)
25962818,12/31/2019 10:02:49 PM,12/31/2019 10:13:48 PM,3475,659,176,Clark St & Elm St,26,McClurg Ct & Illinois St,Subscriber,Male,1995,41.902973,-87.63128,POINT (-87.63128 41.902973),41.890359,-87.617532,POINT (-87.617532 41.890359)
25962817,12/31/2019 10:02:23 PM,12/31/2019 10:26:40 PM,3134,1456,259,California Ave & Francis Pl (Temp),86,Eckhart Park,Subscriber,Male,1990,41.918491154,-87.697422802,POINT (-87.697422802448 41.918491153687),41.89637337,-87.66098386,POINT (-87.66098386 41.89637337)
25962816,12/31/2019 10:01:59 PM,12/31/2019 10:05:19 PM,3951,200,303,Broadway & Cornelia Ave,300,Broadway & Barry Ave,Subscriber,Male,1988,41.945529,-87.646439,POINT (-87.646439 41.945529),41.937725,-87.644095,POINT (-87.644095 41.937725)
25962815,12/31/2019 10:00:40 PM,12/31/2019 10:22:35 PM,5117,1315,176,Clark St & Elm St,321,Wabash Ave & 9th St,Subscriber,Female,1990,41.902973,-87.63128,POINT (-87.63128 41.902973),41.870769,-87.625734,POINT (-87.625734 41.870769)
25962814,12/31/2019 10:00:17 PM,12/31/2019 10:06:08 PM,2694,351,90,Millennium Park,76,Lake Shore Dr & Monroe St,Subscriber,Male,1965,41.8810317,-87.62408432,POINT (-87.62408432 41.8810317),41.880958,-87.616743,POINT (-87.616743 41.880958)
25962813,12/31/2019 09:57:27 PM,12/31/2019 10:03:56 PM,1470,388,56,Desplaines St & Kinzie St,47,State St & Kinzie St,Subscriber,Male,1975,41.888716036,-87.644447853,POINT (-87.6444478533 41.888716036),41.889187,-87.627754,POINT (-87.627754 41.889187)
25962812,12/31/2019 09:50:55 PM,12/31/2019 10:05:22 PM,5836,866,55,Halsted St & Roosevelt Rd,109,900 W Harrison St,Subscriber,Male,1961,41.867324,-87.648625,POINT (-87.648625 41.867324),41.874754,-87.649807,POINT (-87.649807 41.874754)
25962811,12/31/2019 09:49:30 PM,12/31/2019 10:23:32 PM,5981,2041,347,Ashland Ave & Grace St,276,California Ave & North Ave,Subscriber,Female,1992,41.950687,-87.6687,POINT (-87.6687 41.950687),41.91044,-87.6972,POINT (-87.6972 41.91044)
25962810,12/31/2019 09:48:34 PM,12/31/2019 10:18:53 PM,240,1819,349,Halsted St & Wrightwood Ave,219,Damen Ave & Cortland St,Subscriber,Female,1984,41.929143,-87.649077,POINT (-87.649077 41.929143),41.915983,-87.677335,POINT (-87.677335 41.915983)
25962805,12/31/2019 09:44:50 PM,12/31/2019 10:02:25 PM,321,1055,299,Halsted St & Roscoe St,298,Lincoln Ave & Belle Plaine Ave,Subscriber,Female,1986,41.94367,-87.64895,POINT (-87.64895 41.94367),41.95602,-87.680293,POINT (-87.680293 41.95602)
25962804,12/31/2019 09:43:38 PM,12/31/2019 10:31:33 PM,5236,2875,463,Clark St & Berwyn Ave,260,Kedzie Ave & Milwaukee Ave,Subscriber,Male,1971,41.977996654,-87.668047105,POINT (-87.6680471047 41.9779966544),41.929567,-87.707857,POINT (-87.707857 41.929567)
25962803,12/31/2019 09:42:27 PM,12/31/2019 10:08:02 PM,389,1534,199,Wabash Ave & Grand Ave,110,Dearborn St & Erie St,Subscriber,Female,1979,41.891466,-87.626761,POINT (-87.626761 41.891466),41.893992,-87.629318,POINT (-87.629318 41.893992)
25962799,12/31/2019 09:42:00 PM,12/31/2019 09:47:48 PM,1061,348,293,Broadway & Wilson Ave,325,Clark St & Winnemac Ave,Subscriber,Male,1987,41.965221,-87.658139,POINT (-87.658139 41.965221),41.97334,-87.66778,POINT (-87.66778 41.97334)
25962798,12/31/2019 09:34:36 PM,12/31/2019 09:49:01 PM,6325,865,59,Wabash Ave & Roosevelt Rd,33,State St & Van Buren St,Subscriber,Male,1985,41.867227,-87.625961,POINT (-87.625961 41.867227),41.877181,-87.627844,POINT (-87.627844 41.877181)
25962795,12/31/2019 09:34:06 PM,12/31/2019 09:39:04 PM,993,298,106,State St & Pearson St,620,Orleans St & Chestnut St (NEXT Apts),Subscriber,Male,1964,41.897448,-87.628722,POINT (-87.628722 41.897448),41.898203,-87.637536,POINT (-87.637536 41.898203)
25962796,12/31/2019 09:34:06 PM,12/31/2019 09:48:56 PM,5458,889,326,Clark St & Leland Ave,254,Pine Grove Ave & Irving Park Rd,Subscriber,,1992,41.967096,-87.667429,POINT (-87.667429 41.967096),41.954383,-87.648043,POINT (-87.648043 41.954383)
25962794,12/31/2019 09:33:47 PM,12/31/2019 09:46:06 PM,3591,738,517,Clark St & Jarvis Ave,526,Oakley Ave & Touhy Ave,Subscriber,Female,1988,42.015963,-87.675005,POINT (-87.675005 42.015963),42.012342,-87.688243,POINT (-87.688243 42.012342)
25962792,12/31/2019 09:29:49 PM,12/31/2019 09:42:04 PM,389,735,110,Dearborn St & Erie St,199,Wabash Ave & Grand Ave,Subscriber,Female,1979,41.893992,-87.629318,POINT (-87.629318 41.893992),41.891466,-87.626761,POINT (-87.626761 41.891466)
25962793,12/31/2019 09:29:48 PM,12/31/2019 09:32:34 PM,3079,166,19,Throop (Loomis) St & Taylor St,320,Loomis St & Lexington St,Subscriber,Male,1996,41.868968,-87.659141,POINT (-87.659141 41.868968),41.872187,-87.661501,POINT (-87.661501 41.872187)
25962791,12/31/2019 09:29:00 PM,12/31/2019 09:34:20 PM,4812,319,316,Damen Ave & Sunnyside Ave,464,Damen Ave & Foster Ave,Subscriber,Male,1983,41.96325,-87.679258,POINT (-87.679258 41.96325),41.975614805,-87.679459039,POINT (-87.6794590387 41.97561480459)
25962790,12/31/2019 09:27:52 PM,12/31/2019 09:49:09 PM,2893,1277,89,Financial Pl & Ida B Wells Dr,15,Racine Ave & 18th St,Subscriber,Female,2001,41.875023628,-87.633094043,POINT (-87.63309404254 41.875023628033),41.858166,-87.656495,POINT (-87.656495 41.858166)
25962789,12/31/2019 09:27:23 PM,12/31/2019 09:29:37 PM,389,133,627,LaSalle Dr & Huron St,110,Dearborn St & Erie St,Subscriber,Female,1979,41.894877,-87.632326,POINT (-87.632326 41.894877),41.893992,-87.629318,POINT (-87.629318 41.893992)
25962788,12/31/2019 09:26:13 PM,12/31/2019 09:45:57 PM,2508,1183,191,Canal St & Monroe St,97,Field Museum,Subscriber,Male,1972,41.88169,-87.63953,POINT (-87.63953 41.88169),41.865312,-87.617867,POINT (-87.617867 41.865312)
25962787,12/31/2019 09:24:56 PM,12/31/2019 09:28:09 PM,4209,192,300,Broadway & Barry Ave,117,Wilton Ave & Belmont Ave,Subscriber,Male,1987,41.937725,-87.644095,POINT (-87.644095 41.937725),41.94018,-87.65304,POINT (-87.65304 41.94018)
25962783,12/31/2019 09:21:13 PM,12/31/2019 09:34:01 PM,2906,768,300,Broadway & Barry Ave,306,Sheridan Rd & Buena Ave,Subscriber,Male,1984,41.937725,-87.644095,POINT (-87.644095 41.937725),41.958494,-87.654966,POINT (-87.654966 41.958494)
25962782,12/31/2019 09:20:28 PM,12/31/2019 09:29:34 PM,2701,546,48,Larrabee St & Kingsbury St,161,Rush St & Superior St,Subscriber,Male,1990,41.897764,-87.642884,POINT (-87.642884 41.897764),41.895764746,-87.625908033,POINT (-87.6259080327 41.89576474564)
25962781,12/31/2019 09:19:55 PM,12/31/2019 09:27:13 PM,389,438,627,LaSalle Dr & Huron St,627,LaSalle Dr & Huron St,Subscriber,Female,1979,41.894877,-87.632326,POINT (-87.632326 41.894877),41.894877,-87.632326,POINT (-87.632326 41.894877)
25962780,12/31/2019 09:08:39 PM,12/31/2019 09:11:19 PM,3079,160,320,Loomis St & Lexington St,19,Throop (Loomis) St & Taylor St,Subscriber,Male,1996,41.872187,-87.661501,POINT (-87.661501 41.872187),41.868968,-87.659141,POINT (-87.659141 41.868968)
25962779,12/31/2019 09:05:41 PM,12/31/2019 09:17:04 PM,2531,682,5,State St & Harrison St,59,Wabash Ave & Roosevelt Rd,Subscriber,Male,1985,41.874053,-87.627716,POINT (-87.627716 41.874053),41.867227,-87.625961,POINT (-87.625961 41.867227)
25962778,12/31/2019 09:04:18 PM,12/31/2019 09:10:33 PM,1295,374,120,Wentworth Ave & Cermak Rd (Temp),209,Normal Ave & Archer Ave,Subscriber,Female,1998,41.853005,-87.630578,POINT (-87.630578 41.853005),41.849527,-87.640591,POINT (-87.640591 41.849527)
25962776,12/31/2019 09:03:21 PM,12/31/2019 09:12:10 PM,5782,529,325,Clark St & Winnemac Ave,454,Broadway & Granville Ave,Subscriber,Male,1992,41.97334,-87.66778,POINT (-87.66778 41.97334),41.994779688,-87.660284535,POINT (-87.6602845349 41.9947796884)
25962774,12/31/2019 08:58:37 PM,12/31/2019 09:19:43 PM,389,1265,53,Wells St & Huron St,627,LaSalle Dr & Huron St,Subscriber,Female,1979,41.894722,-87.634362,POINT (-87.634362 41.894722),41.894877,-87.632326,POINT (-87.632326 41.894877)
25962773,12/31/2019 08:56:40 PM,12/31/2019 09:03:13 PM,1743,392,59,Wabash Ave & Roosevelt Rd,5,State St & Harrison St,Subscriber,Male,1985,41.867227,-87.625961,POINT (-87.625961 41.867227),41.874053,-87.627716,POINT (-87.627716 41.874053)
25962772,12/31/2019 08:56:21 PM,12/31/2019 09:03:23 PM,5166,422,153,Southport Ave & Wellington Ave,257,Lincoln Ave & Waveland Ave,Subscriber,Male,1981,41.935733,-87.663576,POINT (-87.663576 41.935733),41.948797,-87.675278,POINT (-87.675278 41.948797)
25962771,12/31/2019 08:55:55 PM,12/31/2019 09:14:00 PM,6243,1085,72,Wabash Ave & 16th St,272,Indiana Ave & 31st St,Subscriber,Male,1985,41.860384,-87.625813,POINT (-87.625813 41.860384),41.838842,-87.621857,POINT (-87.621857 41.838842)
25962770,12/31/2019 08:51:30 PM,12/31/2019 09:04:25 PM,2485,775,47,State St & Kinzie St,186,Ogden Ave & Race Ave,Subscriber,Female,1992,41.889187,-87.627754,POINT (-87.627754 41.889187),41.891795,-87.658751,POINT (-87.658751 41.891795)
25962769,12/31/2019 08:50:07 PM,12/31/2019 09:06:10 PM,5285,963,225,Halsted St & Dickens Ave,112,Green St & Randolph St,Subscriber,Male,1981,41.919936,-87.64883,POINT (-87.64883 41.919936),41.883668,-87.64867,POINT (-87.64867 41.883668)
